Entity,Code,Year,Human Development Index,Population,Agriculture per capita,Land-use change and forestry per capita,Waste per capita,Buildings per capita,Industry per capita,Manufacturing and construction per capita,Transport per capita,Electricity and heat per capita,Fugitive emissions per capita,Other fuel combustion per capita,Aviation and shipping per capita,Total emissions per capita
Australia,AUS,1990,0.867,17126304.0,10.473946976533874,3.0345134595298555,1.1391833287555797,0.5465277271733586,0.6779045846669544,2.516012795288464,3.726431575662793,8.33279614796047,1.5052868383044,0.1991089262458496,0.3824526295924678,32.53416498971407
Australia,AUS,1991,0.868,17353191.0,10.256903182820958,2.9948382404135354,1.1254414245771858,0.543992168356817,0.654058380386639,2.4975233661636063,3.591270331779325,8.374252320509813,1.5956719429873156,0.1982344342317214,0.3757234044159371,32.20790919664285
Australia,AUS,1992,0.868,17549286.0,9.8961291074748,2.961374041086344,1.1048882558526882,0.5578574535738947,0.6211078900873802,2.4519516064642173,3.637754835153977,8.419145941322057,1.6234278705127947,0.1982986658260626,0.3931783891378829,31.8651140564921
Australia,AUS,1993,0.872,17722905.0,9.662637135390614,2.932363514897812,1.0929359492701676,0.5800403489157111,0.6043027370512905,2.4804060056745776,3.665877574810676,8.41735595829239,1.6927247536450711,0.2031269704374085,0.4220527052421711,31.75382365362789
Australia,AUS,1994,0.873,17897433.0,9.714800999674088,2.903209639058294,1.0470775334094,0.5565043880873866,0.4726934862669971,2.551762590758127,3.7239977375526414,8.488368136369054,1.701361306953908,0.2061748184781583,0.4397278648843105,31.80567850149237
Australia,AUS,1995,0.882,18095340.0,9.359315713327298,2.8742206557047285,1.0450204306744166,0.5813651470489087,0.4222081486172683,2.5680644851105314,3.835794187895889,8.738713945137256,1.778358406086871,0.2111040743086341,0.4802341376288039,31.89439933154061
Australia,AUS,1996,0.884,18305305.0,8.748283625976185,2.9761864115347985,0.9483589593290032,0.5938169290268586,0.3681992733800392,2.5298677077492018,3.93000826809496,9.035085730611971,1.8005709273896282,0.2092289639533457,0.5025865452665225,31.64219334231252
Australia,AUS,1997,0.887,18504911.0,8.62689909721803,3.1175507950294925,0.9327253721998446,0.5917348102890092,0.3523389007382959,2.5836384730518294,3.9621914420447633,9.197558421113184,1.8870666278805663,0.2150780406347266,0.4971653200601721,31.963947300259917
Australia,AUS,1998,0.891,18701710.0,8.874589542881372,2.9713860390306555,0.882806973266081,0.5978062968573462,0.3999634258043783,2.5623325353670867,3.9215665305472074,10.126346735138124,1.9741510268312363,0.2170924476959593,0.5122526228884953,33.040294176307945
Australia,AUS,1999,0.893,18909980.0,10.443691637960484,3.078268723710972,0.8820739101786464,0.5859339882961272,0.3860395410254267,2.5272369404938555,3.954525599709783,10.27023825514358,1.9772627998548915,0.2199896033734567,0.5245907187633196,34.84985171851054
Australia,AUS,2000,0.897,19132472.0,11.231167619113725,2.6980308660585,0.8624081613708882,0.5932322807005806,0.4134332458450743,2.5250265621713703,4.028752792634428,10.295062760316595,2.0985265260024946,0.2210900922787186,0.538351761340615,35.505082667832994
Australia,AUS,2001,0.9,19365438.0,12.035875460188404,3.3089878989568944,0.8566808558629038,0.6005544516989494,0.4528686622011854,2.456954498008256,3.947238373849329,10.551788190899684,2.223548984536265,0.2189467648498319,0.5535635186769337,37.20700765972864
Australia,AUS,2002,0.902,19595356.0,11.169993543368133,3.3467113330321734,0.8593872956429064,0.6113693469003574,0.4598028226687997,1.9509724651085696,3.989720829772115,11.160297368417291,2.217362113757974,0.2587347736882147,0.4516376227101972,36.475989515066736
Australia,AUS,2003,0.906,19819449.0,7.098078256363232,3.4405598258559054,0.7987103980539519,0.6089977577075932,0.4853818085457371,2.245773835589476,3.96025136723024,10.616339535978016,2.200363895081039,0.3118149248246003,0.4470356365608348,32.21330724179062
Australia,AUS,2004,0.91,20046679.0,9.156130050269176,3.085299066244339,0.7677082074292705,0.5946122048445032,0.5108078001348753,2.2711991347793816,4.059026435251445,10.977379345476624,2.2173248746089067,0.3087793244955935,0.5023275925154486,34.45059403604956
Australia,AUS,2005,0.914,20294490.0,6.980219754228857,3.0431905408808007,0.7509427435722701,0.5898152651286137,0.5415262960537565,2.1705398854565945,4.015868346531497,11.01234867197944,2.327232662658682,0.3217622123049162,0.5425117852185495,32.295958164013975
Australia,AUS,2006,0.917,20590566.0,8.647649608077796,3.246632462653042,0.727031981539507,0.5910473757739345,0.5109135902335079,2.083964083357398,4.052341251814059,11.084688007119375,2.324851099284983,0.2943095396212032,0.5643361139271257,34.127765113401935
Australia,AUS,2007,0.919,20954545.0,8.067462214044733,3.017006573037019,0.7258568487170683,0.5941431799163379,0.5330585798928108,2.0783080711129736,4.094577095327052,11.230499159012997,2.4300217446859382,0.2849023922972319,0.5721909017828829,33.628026759827044
Australia,AUS,2008,0.924,21370595.0,6.353122128794261,2.875914311229987,0.7365260536732833,0.5863196602621499,0.5409301893559819,2.108504700032919,4.098154496868244,11.007180661090624,2.392071910024031,0.282631344611603,0.5750892757080465,31.55644473165113
Australia,AUS,2009,0.927,21783014.0,6.58311104239294,2.9582684930561034,0.7221222921676496,0.6027632356110132,0.5660373720551252,1.9033178787839,4.00357820088625,11.252345520229662,2.378917811832651,0.2759030499636092,0.5187528227269192,31.765117719705824
Australia,AUS,2010,0.929,22141583.0,5.363663474287272,2.7811922932520226,0.7275902992121205,0.5984215311073287,0.5681617253834109,1.6841614260371538,4.062040189267407,11.229097756921895,2.624021959044211,0.2786611959948843,0.5636453364693934,30.4806571869771
Australia,AUS,2011,0.933,22479779.0,9.830167814372196,-0.9145997387251894,0.6970709098163287,0.6089917520986305,0.5943118924790142,1.7727042601264007,4.098794743489249,10.749660839637258,2.4711097026354216,0.2713549808474541,0.5329233886151639,30.71249054539193
Australia,AUS,2012,0.938,22852648.0,9.684654487304927,-0.8694834839271143,0.6274983975598801,0.6104325415592976,0.5994928902768729,1.8085431500104496,4.061673728138638,10.493313510101762,2.5476259906510617,0.2717409378554292,0.5671115224808959,30.402603672012106
Australia,AUS,2013,0.935,23236271.0,6.092199561625013,-0.810370992832714,0.5822793166769316,0.6124046323956197,0.587874018167545,1.7799757973213517,4.056158580694811,9.946088165351489,2.7099873297225705,0.2715582031213184,0.5590397874082291,26.387194399652163
Australia,AUS,2014,0.937,23595599.0,6.927986867381498,-0.8319348027570734,0.5751072477541257,0.6234213422596308,0.6051976048584314,1.7524454454409062,4.002441302719206,9.362339137904488,2.925969372508831,0.2653037119337381,0.6001119106999572,26.80838914070374
Australia,AUS,2015,0.938,23947997.0,6.45899529718498,-0.8539336296058497,0.5486888945242477,0.6246868997018832,0.6225990424167833,1.5884418225039865,3.939369125526448,9.52689279191074,3.011942919485082,0.2768498760042437,0.5645566098910068,26.30908964954355
Australia,AUS,2016,0.939,24329963.0,5.039054107891574,-0.6559812688576633,0.553638326535885,0.5700789598405883,0.6255660972439621,1.5852880664060196,3.9334215181502734,9.633389084890922,2.9071149841041684,0.2914102253258667,0.5885746723083796,25.071554773839978
Australia,AUS,2017,0.94,24731044.0,6.702507180853344,-0.6716255488446019,0.5592161818967286,0.571346684757829,0.6275513480142609,1.5506826157440017,3.934730778045601,9.453705229750916,2.7750547045244027,0.3081147726719503,0.6198686962022307,26.431152643616663
Australia,AUS,2018,0.945,25119700.0,6.509631882546368,-0.6285903095976465,0.5449905850786435,0.5565353089407915,0.6162493978829365,1.5959585504603957,3.970588820726362,9.07574533135348,2.694299693069583,0.3065323232363444,0.6433197848700423,25.8852613685673
